hand,climb_index,move_index,start_time,end_time,climb,on_hold,duration
right,0,24,2021-02-25 13:48:58.359999895+00:00,2021-02-25 13:48:59.460000038+00:00,0,17.0,1.1000001430000002
left,0,23,2021-02-25 13:48:59.660000086+00:00,2021-02-25 13:49:01.160000086+00:00,0,14.5,1.5
right,0,25,2021-02-25 13:49:03.059999943+00:00,2021-02-25 13:49:04.759999990+00:00,0,3.5999999046325684,1.700000047
left,0,24,2021-02-25 13:49:14.660000086+00:00,2021-02-25 13:49:15.960000038+00:00,0,13.5,1.299999952
right,0,26,2021-02-25 13:49:21.160000086+00:00,2021-02-25 13:49:21.759999990+00:00,0,16.40000009536743,0.599999904
left,0,25,2021-02-25 13:49:26.759999990+00:00,2021-02-25 13:49:28.559999943+00:00,0,10.799999952316284,1.7999999530000002
right,0,27,2021-02-25 13:49:29.759999990+00:00,2021-02-25 13:49:31.259999990+00:00,0,8.0,1.5
right,0,28,2021-02-25 13:49:50.160000086+00:00,2021-02-25 13:49:51.559999943+00:00,0,18.90000009536743,1.399999857
right,0,29,2021-02-25 13:49:56.160000086+00:00,2021-02-25 13:49:57.460000038+00:00,0,4.6000001430511475,1.299999952
right,0,30,2021-02-25 13:49:58.460000038+00:00,2021-02-25 13:49:59.259999990+00:00,0,1.0,0.7999999520000001
